timestamp,pair_idx,source,target,n_vertices,k_eigen,eigen_seed,note_k,note_residual,geo_hst,t_hst,geo_zoom_rand,t_zoom_rand,geo_zoom_hst,t_zoom_hst,improvement_pct,winner,status
2026-05-06 18:32:00,78,tr_reg_078.ply,tr_reg_079.ply,6890,50,42,1,0.000113,0.139253,0.787,0.412766,6.821,0.182888,7.476,55.69,HST Note,OK
2026-05-06 18:32:00,79,tr_reg_079.ply,tr_reg_080.ply,6890,50,42,1,0.000119,0.156063,0.761,0.335303,6.952,0.308454,7.415,8.01,HST Note,OK
2026-05-06 18:32:00,80,tr_reg_080.ply,tr_reg_081.ply,6890,50,42,1,0.000138,0.092829,0.901,0.393509,6.653,0.031666,7.543,91.95,HST+ZoomOut,OK
2026-05-06 18:32:00,81,tr_reg_081.ply,tr_reg_082.ply,6890,50,42,1,0.000111,0.139854,0.823,0.427647,6.756,0.196988,7.632,53.94,HST Note,OK
2026-05-06 18:32:00,82,tr_reg_082.ply,tr_reg_083.ply,6890,50,42,1,0.000102,0.095777,0.878,0.326469,6.751,0.155221,7.747,52.45,HST Note,OK
2026-05-06 18:32:00,83,tr_reg_083.ply,tr_reg_084.ply,6890,50,42,1,0.000133,0.170048,0.761,0.271163,7.128,0.340779,7.653,-25.67,HST Note,OK
2026-05-06 18:32:00,84,tr_reg_084.ply,tr_reg_085.ply,6890,50,42,1,0.000114,0.194595,0.758,0.365294,6.841,0.220379,7.762,39.67,HST Note,OK
2026-05-06 18:32:00,85,tr_reg_085.ply,tr_reg_086.ply,6890,50,42,1,0.000171,0.096293,0.759,0.435746,6.813,0.095590,7.701,78.06,HST+ZoomOut,OK
2026-05-06 18:32:00,86,tr_reg_086.ply,tr_reg_087.ply,6890,50,42,1,0.000093,0.105689,0.778,0.293698,7.045,0.173276,7.526,41.00,HST Note,OK
2026-05-06 18:32:00,87,tr_reg_087.ply,tr_reg_088.ply,6890,50,42,1,0.000127,0.155999,0.740,0.348579,6.992,0.338752,7.599,2.82,HST Note,OK
2026-05-06 18:32:00,88,tr_reg_088.ply,tr_reg_089.ply,6890,50,42,1,0.000151,0.115578,0.884,0.318834,6.893,0.395558,7.796,-24.06,HST Note,OK
2026-05-06 18:32:00,89,tr_reg_089.ply,tr_reg_090.ply,6890,50,42,1,0.000130,0.146487,0.764,0.319193,7.228,0.271446,7.776,14.96,HST Note,OK
2026-05-06 18:32:00,90,tr_reg_090.ply,tr_reg_091.ply,6890,50,42,1,0.000100,0.111953,0.729,0.296502,6.902,0.427637,7.728,-44.23,HST Note,OK
2026-05-06 18:32:00,91,tr_reg_091.ply,tr_reg_092.ply,6890,50,42,1,0.000111,0.099768,0.767,0.248381,7.041,0.085220,7.642,65.69,HST+ZoomOut,OK
2026-05-06 18:32:00,92,tr_reg_092.ply,tr_reg_093.ply,6890,50,42,1,0.000091,0.089469,0.766,0.275092,7.037,0.134870,8.093,50.97,HST Note,OK
2026-05-06 18:32:00,93,tr_reg_093.ply,tr_reg_094.ply,6890,50,42,1,0.000109,0.141852,0.773,0.254688,7.186,0.296808,7.629,-16.54,HST Note,OK
2026-05-06 18:32:00,94,tr_reg_094.ply,tr_reg_095.ply,6890,50,42,1,0.000108,0.151289,0.762,0.286347,7.083,0.358544,7.643,-25.21,HST Note,OK
2026-05-06 18:32:00,95,tr_reg_095.ply,tr_reg_096.ply,6890,50,42,1,0.000108,0.086096,0.861,0.347400,7.013,0.089571,7.767,74.22,HST Note,OK
2026-05-06 18:32:00,96,tr_reg_096.ply,tr_reg_097.ply,6890,50,42,1,0.000084,0.096104,0.763,0.289156,7.143,0.204039,7.735,29.44,HST Note,OK
2026-05-06 18:32:00,97,tr_reg_097.ply,tr_reg_098.ply,6890,50,42,1,0.000117,0.159785,0.727,0.495284,6.910,0.260380,7.628,47.43,HST Note,OK
2026-05-06 18:32:00,98,tr_reg_098.ply,tr_reg_099.ply,6890,50,42,1,0.000156,0.088933,0.761,0.469259,7.360,0.060302,7.647,87.15,HST+ZoomOut,OK
